"","NZDT","Serial.Number","GPS.Heading","GPS.Speed","Heading","Latitude","Longitude","corrected_Heading","variation"
"59",2020-10-16 17:26:03,"002-0009-00281",353,1.865052507,336.5130923,-37.554185,175.4591431,336.5130923,16.4869077
"60",2020-10-16 17:26:02,"002-0009-00281",358,1.814093067,339.4572592,-37.5542017,175.459145,339.4572592,18.5427408
"61",2020-10-16 17:26:01,"002-0009-00281",358,1.201572428,341.695817,-37.554218,175.4591457,341.695817,16.304183
"62",2020-10-16 17:26:00,"002-0009-00281",356,1.338931275,341.3419623,-37.5542288,175.459146,341.3419623,14.6580377
"63",2020-10-16 17:25:59,"002-0009-00281",354,1.262095702,341.1803066,-37.5542408,175.4591472,341.1803066,12.8196934
"64",2020-10-16 17:25:58,"002-0009-00281",357,1.814776354,341.4995192,-37.5542521,175.4591485,341.4995192,15.5004808
"65",2020-10-16 17:25:57,"002-0009-00281",2,0.924717151,342.2355978,-37.5542684,175.4591494,342.2355978,19.7644022
"66",2020-10-16 17:25:55,"002-0009-00281",3,2.005926188,341.9989587,-37.554285,175.4591482,341.9989587,21.0010413
"67",2020-10-16 17:25:54,"002-0009-00281",7,1.323125232,356.4393747,-37.554303,175.4591468,356.4393747,10.5606253
"68",2020-10-16 17:25:53,"002-0009-00281",9,0.86658801,353.0645805,-37.5543148,175.4591449,353.0645805,15.9354195
"69",2020-10-16 17:25:51,"002-0009-00281",2,0.941138194,347.0667546,-37.5543302,175.4591419,347.0667546,14.9332454
"70",2020-10-16 17:25:49,"002-0009-00281",358,1.768576255,345.8560586,-37.5543471,175.4591408,345.8560586,12.1439414
"71",2020-10-16 17:25:48,"002-0009-00281",357,1.201798112,343.4244777,-37.554363,175.4591407,343.4244777,13.5755223
"72",2020-10-16 17:25:47,"002-0009-00281",354,1.945959872,343.5633292,-37.5543738,175.4591411,343.5633292,10.4366708
"73",2020-10-16 17:25:46,"002-0009-00281",357,1.193410058,342.6265474,-37.5543912,175.4591434,342.6265474,14.3734526
"74",2020-10-16 17:25:45,"002-0009-00281",2,0.890110746,343.9521762,-37.5544019,175.4591444,343.9521762,18.0478238
"75",2020-10-16 17:25:43,"002-0009-00281",359,0.995857207,340.5378935,-37.5544179,175.4591439,340.5378935,18.4621065
"76",2020-10-16 17:25:41,"002-0009-00281",1,1.234933533,342.3537802,-37.5544358,175.4591445,342.3537802,18.6462198
"77",2020-10-16 17:25:40,"002-0009-00281",1,1.835376686,343.3930167,-37.5544469,175.4591442,343.3930167,17.6069833
"78",2020-10-16 17:25:39,"002-0009-00281",359,1.323664286,346.96563,-37.5544634,175.459144,346.96563,12.03437
"79",2020-10-16 17:25:38,"002-0009-00281",358,0.945617481,344.26046,-37.5544753,175.4591441,344.26046,13.73954
"80",2020-10-16 17:25:36,"002-0009-00281",357,1.816120807,341.0286623,-37.5544923,175.4591445,341.0286623,15.9713377
"81",2020-10-16 17:25:35,"002-0009-00281",359,0.973270992,343.2159116,-37.5545086,175.4591457,343.2159116,15.7840884
"82",2020-10-16 17:25:33,"002-0009-00281",2,1.671787968,347.049363,-37.5545261,175.4591458,347.049363,14.950637
"83",2020-10-16 17:25:32,"002-0009-00281",356,1.169537584,345.677676,-37.5545411,175.4591446,345.677676,10.322324
"84",2020-10-16 17:25:31,"002-0009-00281",358,1.624170265,335.9269604,-37.5545516,175.4591453,335.9269604,22.0730396
"85",2020-10-16 17:25:30,"002-0009-00281",358,1.179069092,343.8560985,-37.5545662,175.459145,343.8560985,14.1439015
"86",2020-10-16 17:25:29,"002-0009-00281",359,0.814312421,342.7217266,-37.5545768,175.4591451,342.7217266,16.2782734
"87",2020-10-16 17:25:27,"002-0009-00281",0,1.769342807,346.1720625,-37.5545914,175.4591437,346.1720625,13.8279375
"88",2020-10-16 17:25:26,"002-0009-00281",3,0.563432342,345.4261519,-37.5546073,175.4591431,345.4261519,17.5738481
"89",2020-10-16 17:25:24,"002-0009-00281",1,1.802009299,344.1364674,-37.5546174,175.4591421,344.1364674,16.8635326
"90",2020-10-16 17:25:23,"002-0009-00281",3,1.391737633,344.0727426,-37.5546336,175.4591419,344.0727426,18.9272574
"91",2020-10-16 17:25:22,"002-0009-00281",5,1.885053015,346.6052375,-37.5546461,175.4591412,346.6052375,18.3947625
"92",2020-10-16 17:25:21,"002-0009-00281",2,1.168045932,348.7371119,-37.554663,175.4591396,348.7371119,13.2628881
"93",2020-10-16 17:25:20,"002-0009-00281",2,1.201572424,349.4614687,-37.5546735,175.4591394,349.4614687,12.5385313
"94",2020-10-16 17:25:19,"002-0009-00281",4,0.691322305,354.5543361,-37.5546843,175.4591391,354.5543361,9.4456639
"95",2020-10-16 17:25:17,"002-0009-00281",5,0.25895268,331.6937573,-37.5546967,175.459138,331.6937573,33.3062427
"96",2020-10-16 17:25:16,"002-0009-00281",345,0.03692544,278.7581513,-37.5546986,175.4591363,278.7581513,66.2418487
"97",2020-10-16 17:25:14,"002-0009-00281",345,0.06261396,269.0118287,-37.5546988,175.4591355,269.0118287,75.9881713
"98",2020-10-16 17:25:13,"002-0009-00281",345,0.041649134,275.8179736,-37.5546987,175.4591348,275.8179736,69.1820264
"99",2020-10-16 17:25:12,"002-0009-00281",345,0.259587013,279.5956206,-37.5546989,175.4591344,279.5956206,65.4043794
